Id,city,Longitude,Latitude
1,Accadia,15.33145,41.158824
2,Acquarica del Capo,18.24543,39.911119
3,Acquaviva delle Fonti,16.842487,40.897829
4,Adelfia,16.8716526,41.0042654
5,Bari,16.8620293,41.1257843
6,Alberobello,17.2377031,40.7841242
7,Alberona,15.123042,41.432728
8,Alessano,18.3312082,39.8896785
9,Alezio,18.058224,40.061321
10,Alliste,18.088826,39.948618
11,Altamura,16.5527314,40.8285595
12,Andrano,18.3822022,39.9830189
13,Andretta,15.3277502,40.9384755
14,Andria,16.2954806,41.2275731
15,Anzano di Puglia,15.28445,41.122523
16,Apricena,15.443744,41.783938
17,Aquilonia,15.474455,40.986721
18,Aradeo,18.129625,40.130922
19,Ariano Irpino,15.0885633,41.1526668
20,Arnesano,18.0916278,40.3351996
21,Lecce,18.2260628338229,40.1522173
22,Ascoli Satriano,15.5616103,41.2061199
23,Avetrana,17.7273737,40.3499423
24,Bagnolo del Salento,18.35263,40.150624
25,Banzi,16.0137032,40.8614586
26,Campobasso,14.826226697820019,41.7172648
27,Barile,15.67266,40.946322
28,Barletta,16.2868696,41.3214976
29,Baselice,14.972839,41.393726
30,Bernalda,16.6910968,40.4129181
31,Biccari,15.194444,41.396128
32,Binetto,16.7095806,41.0241649
33,Bisaccia,15.374753,41.012121
34,Bisceglie,16.5010109,41.2402745
35,Bitetto,16.7486991,41.0414078
36,Bitonto,16.691548,41.1084971
37,Bitritto,16.825185,41.044532
38,Bonefro,14.933334,41.704533
39,Botrugno,18.32443,40.064722
40,Bovino,15.341249,41.249926
41,Brindisi,17.688443357842537,40.63591975
42,Buonalbergo,14.9798206,41.2230773
43,Cagnano Varano,15.7790862,41.8235505
44,Calimera,18.2807272,40.2500221
45,Campi Salentina,18.0183191,40.3984955
46,Campomarino,15.034344,41.9562688
47,Candela,15.514654,41.137925
48,Cannole,18.36603,40.166225
49,Canosa di Puglia,16.067466,41.219631
50,Caprarica di Lecce,18.249026,40.258126
51,Capurso,16.9167417,41.05032
52,Carapelle,15.6936756,41.3653134
53,Foggia,15.452899609627728,41.50281055
54,Carife,15.2086615,41.0281055
55,Carlantino,14.9767652,41.5921177
56,Carosino,17.397605,40.465824
57,Taranto,17.08058012454743,40.54881555
58,Carovigno,17.656848,40.7071852
59,Carpignano Salentino,18.3408272,40.1977814
60,Carpino,15.856153,41.844242
61,Casacalenda,14.8519039,41.7396685
62,Casalbore,15.006742,41.233923
63,Casalnuovo Monterotaro,15.103839,41.620232
64,Casalvecchio di Puglia,15.110539,41.593832
65,Casamassima,16.920388,40.957131
66,Casarano,18.1617652,40.0108197
67,Cassano delle Murge,16.7686188,40.8910105
68,Castel Baronia,15.188748,41.047421
69,Castel del Monte,16.27111452349182,41.08474385
70,Castelfranco in Miscano,15.0855225,41.2973373
71,Castellana Grotte,17.165495,40.886431
72,Castellaneta,16.9346775,40.630424
73,Castelluccio Valmaggiore,15.199045,41.342327
74,Castelluccio dei Sauri,15.4792258,41.3039147
75,Castelnuovo della Daunia,15.12084,41.582631
76,Castelvetere in Val Fortore,14.9395633,41.4419648
77,Castri di Lecce,18.263327,40.273826
78,Castrignano de' Greci,18.2970106,40.1738974
79,Castrignano del Capo,18.351233,39.832318
80,Cavallino,18.200425,40.312527
81,Ceglie Messapica,17.5170566,40.6460444
82,Celenza Valfortore,14.978837,41.56173
83,Cellamare,16.928288,41.019333
84,Celle di San Vito,15.180998,41.3259364
85,Cellino San Marco,17.966318,40.472228
86,Cerignola,15.8996651,41.2648121
87,Chieuti,15.165937,41.844637
88,Cisternino,17.425745,40.7429852
89,Collepasso,18.1630729,40.07302
90,Colletorto,14.9733645,41.6629186
91,Conversano,17.1150442,40.9685142
92,Copertino,18.0502517,40.2716808
93,Corato,16.4114643,41.1527614
94,Corigliano d'Otranto,18.259428,40.159624
95,Corsano,18.369333,39.889219
96,Crispiano,17.2313031,40.6052497
97,Cursi,18.314829,40.149624
98,Cutrofiano,18.201627,40.126323
99,Deliceto,15.38585,41.223026
100,Diso,18.392532,40.009522
101,Erchie,17.7346286,40.4360421
102,Faeto,15.159844,41.325426
103,Fasano,17.358399,40.834432
104,Flumeri,15.147747,41.077821
105,Foiano di Val Fortore,14.97734,41.351825
106,Fragagnano,17.472207,40.431924
107,Francavilla Fontana,17.5826774,40.5301622
108,Gagliano del Capo,18.369534,39.844218
109,Galatina,18.1678388,40.1742781
110,Galatone,18.070424,40.142922
111,Gallipoli,17.996423,40.05672
112,Gambatesa,14.9120522,41.5098892
113,Genzano di Lucania,16.0313301,40.8467115
114,Ginestra,15.734562,40.929822
115,Melfi,15.6556545,40.9961268
116,Ginestra degli Schiavoni,15.043742,41.279924
117,Ginosa,16.7562077,40.5797514
118,Gioia del Colle,16.92359,40.796728
119,Giovinazzo,16.6716662,41.1875008
120,Giuggianello,18.368931,40.094423
121,Giurdignano,18.432732,40.121524
122,Gravina in Puglia,16.422779,40.819725
123,Greci,15.169145,41.251825
124,Grottaglie,17.4342206,40.5361927
125,Grottaminarda,15.058945,41.06972
126,Grottole,16.3815386,40.6011322
127,Grumo Appula,16.708483,41.013531
128,Guagnano,17.949018,40.401227
129,Irsina,16.2427058,40.7444119
130,Ischitella,15.899453,41.904344
131,Lacedonia,15.423854,41.051222
132,Larino,14.9210984,41.8055672
133,Laterza,16.799689,40.629524
134,Latiano,17.718222,40.5537831
135,Lavello,15.790762,41.045625
136,Leporano,17.334904,40.383922
137,Lequile,18.140223,40.305826
138,Lesina,15.3861,41.6511
139,Leverano,17.9994144,40.2894249
140,Lizzanello,18.222525,40.304127
141,Lizzano,17.447607,40.391023
142,Locorotondo,17.280855463809782,40.77966895
143,Lucera,15.3376465,41.5082727
144,Macchia Valfortore,14.911735,41.59503
145,Maglie,18.2988529,40.1184626
146,Manduria,17.633511,40.401825
147,Manfredonia,15.9095926,41.6254728
148,Margherita di Savoia,16.150166,41.374235
149,Martano,18.3019803,40.2036212
150,Martignano,18.255227,40.237425
151,Martina Franca,17.3399908,40.7042378
152,Maruggio,17.5723658,40.3222604
153,Maschito,15.829464,40.908922
154,Massafra,17.1169895,40.5888311
155,Matino,18.1338533,40.0325103
156,Mattinata,16.051559,41.710141
157,Melendugno,18.3369115,40.2717007
158,Melissano,18.1257786,39.9710645
159,Melito Irpino,15.0520424,41.1032532
160,Melpignano,18.2930785,40.1570806
161,Mesagne,17.8085464,40.5597541
162,Miggiano,18.311631,39.95972
163,Miglionico,16.5009658,40.5693922
164,Minervino Murge,16.0777763,41.0850517
165,Minervino di Lecce,18.420432,40.088424
166,Modugno,16.7805515,41.0825639
167,Mola di Bari,17.0917111,41.0613232
168,Molfetta,16.5968279,41.1992456
169,Monacilioni,14.808533,41.60993
170,Monopoli,17.299948,40.9522369
171,Montaguto,15.248447,41.248725
172,Monte Sant'Angelo,15.967657,41.70544
